type_acces,distance_rn,batissable,distance_jirama,type_papier,commune,prix_m2
acces voiture,4976.082076050148,1,2725.8465706124025,cadastre,Ambohidratrimo,215157.44
acces moto,9439.832416670077,1,515.4280615973294,cadastre,Alasora,193444.25
acces moto,5232.104922942855,1,1593.6762976074456,titre et borne,Analakely,266543.05
acces voiture,2416.147396015209,1,1239.4340643251935,titre et borne,Ambohidratrimo,365246.25
acces moto,9569.372231808971,1,2041.3930315190385,titre et borne,Analakely,259692.08
sans acces,6616.730131053976,1,2249.208957381482,titre et borne,Ambohidratrimo,195047.64
sans acces,4428.983965749176,1,397.2657037230532,titre et borne,Ivato,254731.85
acces voiture,2373.1452398457286,1,1367.9777143512931,titre et borne,Alasora,356451.76
acces voiture,851.6008071069919,1,457.82770419831513,titre et borne,Alasora,375685.03
acces voiture,7778.532642594924,0,2610.7097980212984,cadastre,Ambohidratrimo,146365.18
acces voiture,10728.249921410392,1,1109.22826486619,cadastre,Ilafy,215153.74
acces voiture,804.2972785425764,1,707.742758950313,titre et borne,Ilafy,374220.35
sans acces,6688.907710071713,1,1147.7442446919267,titre et borne,Analakely,234403.7
acces voiture,3048.0722926345197,1,77.70103162375722,titre et borne,Analakely,348722.62
acces voiture,3538.623848705912,1,222.70876919147872,titre et borne,Ivato,360565.81
acces voiture,3222.818227283393,0,1960.33112635554,cadastre,Ambohidratrimo,175518.95
acces voiture,2408.027690960552,0,474.48457682288335,cadastre,Analakely,199846.84
acces moto,5145.564883834481,1,162.47121385444837,titre et borne,Analakely,300707.2
sans acces,2507.1496507668867,1,1429.322202021829,titre et borne,Tanjombato,273186.28
acces moto,5811.370477339517,1,1948.563323730397,fifanolorana,Ambohidratrimo,127740.49
acces moto,4849.285671652589,1,1575.1626485320537,titre et borne,Ivato,292960.14
acces voiture,4283.155859400771,1,1796.838148644653,cadastre,Analakely,254676.71
acces voiture,2277.3090138752063,1,394.5639291444314,titre et borne,Ivato,361317.56
sans acces,3269.6860082950016,1,137.44853339347492,titre et borne,Alasora,273167.14
acces voiture,7266.173677477268,0,2201.0669215643893,titre et borne,Ivato,227548.79
acces moto,6502.751562873143,1,741.8561289262914,cadastre,Ilafy,185314.87
acces moto,2067.334265604347,1,799.3335868359621,fifanolorana,Ilafy,160325.38
sans acces,5297.996916287678,1,2062.5553134792463,titre et borne,Ivato,248650.89
acces moto,7254.161370115367,1,1444.984007520528,titre et borne,Ilafy,281590.74
acces voiture,8.215843364115244,1,1364.710217665286,titre et borne,Alasora,382273.53
acces moto,6630.080577139805,1,2732.001875920867,titre et borne,Ambohidratrimo,258038.87
acces voiture,3012.12872316246,1,485.1854156958856,titre et borne,Ilafy,354906.6
acces voiture,6711.796005779478,1,1742.2721024649898,titre et borne,Ilafy,324894.82
acces moto,2710.222530372449,1,1045.6104999176675,cadastre,Ivato,199987.04
acces voiture,414.6463019935573,0,1214.8738230906056,titre et borne,Alasora,258646.83
acces voiture,117.37268635051169,1,2222.774741130025,titre et borne,Ambohidratrimo,377161.74
acces moto,5144.254839984146,1,1406.268605031699,fifanolorana,Ivato,130874.14
acces moto,5779.167505164445,0,1430.6368632397064,titre et borne,Ivato,190572.77
acces moto,2287.0501246867743,1,1858.0058698478415,fifanolorana,Tanjombato,102038.95
acces moto,6915.777376332122,0,708.0378163656917,titre et borne,Alasora,197788.53
sans acces,15.439813193120244,0,328.63226612879487,fifanolorana,Ambohidratrimo,43659.33
acces voiture,4801.76060405805,1,164.15264478317317,cadastre,Alasora,240893.97
acces voiture,1366.95140071263,1,573.0852715008014,fifanolorana,Ambohidratrimo,207338.69
sans acces,3044.4916765935222,1,2644.9657039522576,fifanolorana,Alasora,87928.33
acces moto,5142.196013949242,1,117.43330742265346,titre et borne,Ivato,284291.14
sans acces,8018.878427643322,1,1245.9253582472809,titre et borne,Ilafy,229765.48
acces moto,3269.324391430554,1,1652.5897700314374,titre et borne,Tanjombato,304828.16
acces voiture,7507.076336195425,1,1688.3787906877965,cadastre,Alasora,225031.89
acces moto,1610.879436027146,1,533.5380491448493,titre et borne,Tanjombato,311949.88
acces voiture,6589.412533745848,0,866.3026289708708,cadastre,Analakely,162779.68
acces voiture,9324.7058619737,1,1226.0639603906395,cadastre,Ilafy,221235.78
acces moto,2414.933500381868,0,801.0470990531624,cadastre,Alasora,118909.75
acces voiture,2609.3142335885696,1,2285.876460815994,fifanolorana,Ambohidratrimo,185524.05
acces moto,6731.21638154162,1,1392.779961310601,titre et borne,Ilafy,274681.3
acces voiture,4390.863841871022,1,1587.902228839854,titre et borne,Ivato,337917.65
acces voiture,6113.437620113927,1,1530.30501493393,titre et borne,Analakely,357321.11
acces voiture,3188.0444398525383,1,1938.77908598826,titre et borne,Ilafy,356839.14
sans acces,5259.7693624187,1,1144.8172469629656,titre et borne,Ilafy,220461.04
acces voiture,4532.968293823762,1,37.46555836467724,titre et borne,Ivato,336003.13
acces moto,8503.346184979422,0,1319.7503614021134,titre et borne,Alasora,182328.87
sans acces,6012.807986225606,1,577.1066546001946,cadastre,Ivato,141416.98
acces voiture,3537.1813277825195,1,1990.6264571469087,cadastre,Alasora,247143.87
sans acces,3702.3254365411376,1,1017.0172613888492,titre et borne,Ilafy,255902.64
acces voiture,6183.3564271348905,1,1247.066410079171,titre et borne,Ambohidratrimo,358305.47
acces moto,3737.046557539211,1,2361.77195570819,cadastre,Analakely,156863.67
acces voiture,5869.324570689239,0,1192.6025435908546,titre et borne,Analakely,260286.43
sans acces,11226.202395936318,0,3081.346491344316,titre et borne,Ivato,104369.73
acces voiture,7613.374110295077,1,1452.4077165052354,fifanolorana,Alasora,198940.59
acces moto,4021.929403496477,1,408.6102073246541,fifanolorana,Ivato,112663.98
acces voiture,8603.641766491834,1,1602.673296883626,cadastre,Ivato,188472.83
sans acces,3775.773880935346,1,1304.9267079062222,cadastre,Tanjombato,152641.41
acces moto,1114.3736055335612,1,2031.8022032661968,cadastre,Ivato,211004.56
sans acces,1975.741067247788,1,1538.5450810159668,titre et borne,Tanjombato,266334.66
acces voiture,612.3757630775672,1,889.235212812981,titre et borne,Analakely,356031.06
acces voiture,3945.459547876074,1,20.561410968507403,titre et borne,Analakely,382663.41
acces moto,5055.255137568655,1,832.7813941711797,titre et borne,Ivato,267923.88
acces voiture,10029.311936825849,1,319.5836366325599,cadastre,Analakely,246269.87
acces voiture,5980.782121292488,1,535.5812401562218,titre et borne,Alasora,328251.85
acces voiture,4342.698413573407,1,1470.8627235364877,fifanolorana,Tanjombato,188300.52
acces voiture,7488.216743550467,1,2335.9236034811247,fifanolorana,Tanjombato,178788.72
acces moto,1633.4059270236555,1,1315.7372238583848,cadastre,Ivato,176682.48
sans acces,5706.843674325698,1,43.29355037185246,cadastre,Analakely,173068.2
acces voiture,7312.5955816609,1,1355.6821345761125,fifanolorana,Ambohidratrimo,174511.04
acces voiture,564.2412626604755,1,1957.305189316521,titre et borne,Tanjombato,359664.88
acces voiture,8431.262129620787,1,512.1736765444942,cadastre,Ivato,250154.96
acces moto,3754.136258297596,0,1011.7505557833576,cadastre,Alasora,127024.02
acces voiture,6898.345598318854,1,372.081349534208,titre et borne,Ilafy,366395.46
acces voiture,11812.078573413188,1,1518.6243470750874,fifanolorana,Ilafy,145919.68
acces voiture,5545.598765175486,1,903.2414811137749,fifanolorana,Tanjombato,213780.41
acces voiture,5744.661758901008,1,1335.625955125622,titre et borne,Alasora,311511.75
acces voiture,3621.917301379268,1,290.00625775831986,titre et borne,Alasora,364834.36
sans acces,2450.4668916056244,1,650.0333597412716,fifanolorana,Alasora,92818.35
sans acces,7491.007449632737,1,1577.905086262217,titre et borne,Tanjombato,240904.44
acces voiture,2431.7485222733985,1,701.7334783265865,fifanolorana,Ilafy,223730.76
acces voiture,5214.698711658178,1,2381.571080986724,cadastre,Alasora,261271.5
sans acces,3567.02765970465,0,680.2910515083181,titre et borne,Analakely,196681.2
sans acces,6436.939477239175,1,1179.7477806015088,titre et borne,Ivato,233531.26
acces voiture,6000.986315860845,1,1746.072665498472,titre et borne,Ivato,316308.13
sans acces,8112.619832773697,1,134.6925863464253,cadastre,Ambohidratrimo,146575.28
sans acces,3469.950803435758,1,408.6470495846206,titre et borne,Ambohidratrimo,257652.8
acces voiture,4190.375194119886,1,220.5250516560759,cadastre,Tanjombato,280110.2
acces voiture,3667.120219771665,1,558.5134832860426,cadastre,Ivato,288900.12
acces moto,6131.901479134556,1,3046.559428534602,fifanolorana,Analakely,116854.76
acces voiture,7270.965849936056,1,548.6019210740891,fifanolorana,Ilafy,175963.97
acces moto,2233.504027467124,1,1147.6410425576296,titre et borne,Ilafy,308365.91
acces moto,7608.817760316981,1,2233.6879620543004,fifanolorana,Tanjombato,129080.35
acces voiture,9066.913576414852,1,2604.8743105272983,cadastre,Analakely,210331.89
acces voiture,6240.304709671103,1,2649.2028613091184,cadastre,Tanjombato,195832.64
acces voiture,10630.3874376742,1,1966.6929844745137,fifanolorana,Ilafy,152773.43
acces voiture,2678.6324026892808,1,1819.25002064917,titre et borne,Tanjombato,364005.26
acces voiture,1266.0358900657488,1,1474.0215593609464,titre et borne,Alasora,366379.58
sans acces,336.16074671283604,1,1622.6888609333105,fifanolorana,Tanjombato,109744.7
acces moto,9488.132934467549,1,559.0514269371733,titre et borne,Ivato,286593.56
acces moto,6963.096969062173,1,345.4408932621543,fifanolorana,Tanjombato,142819.69
acces moto,4833.245987268635,1,997.3004340712384,fifanolorana,Ivato,148105.85
acces voiture,5839.905878959461,1,863.8523019800573,titre et borne,Analakely,336002.43
acces moto,1623.532858104871,1,637.4175605381799,fifanolorana,Ilafy,147897.4
acces voiture,12337.255938850478,1,1557.1099579653724,titre et borne,Ambohidratrimo,277243.22
acces voiture,5387.663545925682,1,1764.2441668564086,cadastre,Ambohidratrimo,231528.36
acces voiture,5328.184383814679,1,1070.725509033478,cadastre,Ilafy,256682.7
acces voiture,7177.299871696076,1,2182.024064844209,fifanolorana,Ambohidratrimo,169231.86
acces voiture,6443.027695210139,1,86.648708693196,titre et borne,Tanjombato,353601.46
acces moto,5671.652072837394,1,845.0724325762255,titre et borne,Analakely,299859.01
sans acces,2628.576633664064,1,426.542143517756,cadastre,Analakely,168184.19
acces voiture,6414.405071407988,1,493.2292936584479,cadastre,Ilafy,250053.4
acces moto,10646.0734894251,1,933.8554513258406,cadastre,Ambohidratrimo,137063.74
sans acces,9036.260138464932,1,902.6019932933732,titre et borne,Tanjombato,220954.21
acces voiture,9779.55987991819,1,2210.759794593705,titre et borne,Analakely,334894.0
sans acces,3466.3529707064445,1,1504.649347643822,titre et borne,Analakely,249178.7
acces voiture,2031.1855392242571,1,180.65054053663607,fifanolorana,Alasora,246488.64
acces voiture,4622.639239701056,1,2483.274053067351,titre et borne,Alasora,321207.33
acces voiture,5167.174736866084,1,1976.8269564202824,titre et borne,Analakely,337905.07
acces moto,8282.574555412846,1,1465.6781627748926,fifanolorana,Ilafy,108190.17
acces voiture,9588.65095838184,1,232.44861062121615,fifanolorana,Ivato,193157.39
acces moto,4525.976304263032,1,702.2345791431576,cadastre,Tanjombato,199384.76
acces voiture,1963.6868742194972,1,2507.669044747687,titre et borne,Analakely,344907.28
acces voiture,35.429984402691844,1,2234.594822617751,titre et borne,Analakely,354618.98
acces moto,7469.511751885744,1,608.9204625709807,cadastre,Ilafy,150190.34
acces moto,5219.953901565212,1,104.30605336879104,fifanolorana,Alasora,152433.93
acces voiture,1130.1173007768384,1,1112.7089975289632,cadastre,Analakely,265805.08
acces moto,1114.7636838091516,1,414.7514924502814,titre et borne,Analakely,309259.95
sans acces,3992.645902129616,1,1258.5341713478251,cadastre,Ambohidratrimo,144589.17
acces voiture,10007.06457586818,1,881.917930961065,cadastre,Ilafy,220592.3
acces voiture,4221.225945909186,1,627.1707985054062,cadastre,Tanjombato,249078.62
acces voiture,490.5711406456812,1,275.7624538134364,cadastre,Analakely,266869.01
acces voiture,4262.770807742167,0,1410.880085255773,fifanolorana,Ambohidratrimo,118171.18
sans acces,4181.8292907569885,1,573.8393282704709,cadastre,Ivato,160614.85
acces voiture,3090.6599288247157,1,64.06653143176959,titre et borne,Tanjombato,352347.52
acces voiture,4837.115400446563,1,1297.8097706253193,titre et borne,Analakely,336825.29
sans acces,4307.196409373966,1,977.988075959491,titre et borne,Analakely,245614.81
acces voiture,7088.619094440255,1,2417.801277335795,titre et borne,Ambohidratrimo,320451.09
acces voiture,10546.868284836037,1,2329.007371638296,titre et borne,Ilafy,302052.8
acces voiture,8379.695088643271,1,634.3229947309826,titre et borne,Analakely,341654.11
acces voiture,4193.333928335508,1,518.2303517105756,titre et borne,Ivato,329065.52
acces voiture,1680.4222737749892,1,1375.019404860019,titre et borne,Analakely,335722.14
acces moto,12720.079409749582,1,201.29164864936683,fifanolorana,Ivato,107290.23
acces moto,5177.655302043465,0,1241.4335198555727,fifanolorana,Tanjombato,42657.1
acces voiture,5041.787875738839,1,1612.864222707752,titre et borne,Tanjombato,351926.05
acces voiture,4927.624738669991,1,1981.5465791074464,fifanolorana,Alasora,203093.42
acces voiture,4566.918764228172,1,837.0609998584273,titre et borne,Ivato,332715.17
acces voiture,3279.013979359291,1,297.6139305947512,titre et borne,Ilafy,376447.69
acces voiture,3359.423176278824,1,338.49571676811195,cadastre,Analakely,262801.47
acces voiture,4901.740189352005,1,818.8168864787785,cadastre,Analakely,224999.09
acces voiture,3369.725686598705,1,1293.8924054529425,cadastre,Alasora,229234.65
acces voiture,2861.462651968507,0,1730.8677009865996,titre et borne,Ivato,291138.21
acces voiture,5319.29068307569,1,357.4568394557241,titre et borne,Analakely,370096.02
acces voiture,4235.068347737434,1,2194.150855167617,titre et borne,Analakely,299126.0
acces moto,9511.978965748063,1,783.101119165945,titre et borne,Ilafy,244242.23
sans acces,8274.520555767385,1,402.23065668174127,titre et borne,Alasora,234327.7
acces voiture,8738.255577492888,1,939.3922082183532,fifanolorana,Alasora,187442.54
sans acces,1220.1706972244483,1,1707.2363170888398,fifanolorana,Ambohidratrimo,105897.49
acces moto,3971.937217758954,1,1589.475117673947,titre et borne,Analakely,294062.95
acces voiture,3885.677402012626,1,774.9379543054292,fifanolorana,Ilafy,202909.74
acces moto,777.4649158465363,1,1053.5925737798975,titre et borne,Ilafy,299012.63
acces voiture,2666.549937227374,1,1412.7513741632797,titre et borne,Alasora,368420.89
sans acces,1668.2724636025137,1,250.03668550923408,titre et borne,Ilafy,272189.09
sans acces,10256.811330270868,0,576.7578581229641,cadastre,Tanjombato,52734.2
acces voiture,7807.035179442384,1,1635.4117436974616,fifanolorana,Ambohidratrimo,176972.43
acces moto,8814.665284982477,1,3.431538535399568,cadastre,Analakely,168597.0
sans acces,7165.016192129706,1,1234.8463457333037,titre et borne,Tanjombato,255952.3
acces voiture,1612.8446863483125,1,85.26544369872408,cadastre,Ambohidratrimo,276407.65
acces voiture,3426.4392011606787,1,1373.143985946821,titre et borne,Ivato,343810.63
acces moto,6468.123683683754,0,971.4868141620132,fifanolorana,Alasora,67119.46
acces voiture,1333.6165733241637,1,292.10545272440754,cadastre,Ilafy,250598.51
sans acces,7138.995290517164,1,1931.791483565737,titre et borne,Ivato,258531.36
sans acces,4279.023805525595,1,412.3267385615607,cadastre,Ilafy,151794.37
acces voiture,3875.537577351208,1,351.7980503884952,cadastre,Tanjombato,238084.12
acces voiture,7132.879904610474,1,1160.4553577847544,titre et borne,Analakely,361320.17
acces voiture,6332.789934458119,1,1918.909879542972,cadastre,Analakely,222199.44
acces voiture,3917.101502542761,1,187.3425448172825,titre et borne,Analakely,362189.74
acces voiture,8477.989410092745,1,1049.3438798783773,cadastre,Ilafy,237881.98
acces voiture,1756.8100172003085,1,1343.0532002644584,fifanolorana,Ivato,225548.01
acces moto,6847.806820832791,1,1554.4844858105153,fifanolorana,Analakely,124712.74
acces voiture,6779.303773905152,1,1141.15324422178,cadastre,Ivato,224982.22
acces moto,4071.360682058029,1,706.3777287333421,cadastre,Ilafy,195864.31
acces moto,5978.399066726354,0,337.92782348102423,titre et borne,Tanjombato,200438.99
sans acces,1246.6592708440912,1,1068.9151064371,cadastre,Ivato,166812.73
sans acces,7772.081057620703,1,142.28879041151447,titre et borne,Tanjombato,264138.95
acces voiture,4445.293590671033,1,1337.080386795686,titre et borne,Ilafy,355741.61
acces voiture,3431.830938442881,1,1349.2478433261342,titre et borne,Ilafy,352448.06
acces voiture,8147.027677510668,1,1723.1478728689565,titre et borne,Alasora,333110.75
acces moto,2886.968928371722,1,890.3459484334708,cadastre,Ilafy,208812.91
sans acces,774.6161109093209,1,192.21543623205,titre et borne,Ilafy,258036.65
sans acces,330.1124794282887,1,1495.323408804158,cadastre,Ambohidratrimo,164022.04
acces moto,6818.029854036919,1,2645.996375769359,titre et borne,Analakely,297887.8
acces voiture,1158.711942511151,1,1016.6349661403264,titre et borne,Alasora,382232.41
acces voiture,10264.382545953093,0,417.59764701669246,cadastre,Alasora,136950.58
acces voiture,1245.788223651166,1,853.6828471161278,titre et borne,Alasora,356186.11
acces moto,10089.369104870117,1,2099.901135318548,titre et borne,Ambohidratrimo,239006.26
acces voiture,5633.052401607855,1,483.2286567003717,cadastre,Tanjombato,259997.25
acces voiture,4709.860664388822,1,360.64639467979714,titre et borne,Ilafy,376958.85
acces voiture,3365.242739573151,1,613.8051822543741,fifanolorana,Analakely,215768.24
acces voiture,6197.408343056212,1,237.3371133930301,titre et borne,Ivato,348997.02
acces moto,4887.095892725455,1,1098.1362527958363,titre et borne,Tanjombato,277920.83
acces moto,8309.905646049565,1,2299.7427667756483,cadastre,Ilafy,160393.64
acces moto,5342.682945986119,1,1258.4634184928232,titre et borne,Ambohidratrimo,268400.13
acces voiture,5450.9052843856325,1,798.1171982989699,titre et borne,Ilafy,315727.82
sans acces,3909.163363358432,1,766.5509848675647,titre et borne,Ilafy,277341.06
sans acces,4829.163128836798,1,250.5526469573256,titre et borne,Ambohidratrimo,238261.47
sans acces,5923.405306676177,1,1706.4878217177272,fifanolorana,Alasora,78445.61
sans acces,130.50517796987697,1,937.7302423897584,titre et borne,Alasora,279815.53
acces voiture,955.443733682861,1,855.6160691274995,cadastre,Analakely,288183.62
acces voiture,7229.792282068145,1,3554.486054275889,fifanolorana,Analakely,162163.14
acces moto,5512.596314383825,1,1239.002326692549,titre et borne,Alasora,262141.33
sans acces,4448.049990941962,0,398.5671599238525,fifanolorana,Tanjombato,19253.88
acces moto,5055.30179919618,1,658.9139230355654,titre et borne,Ivato,277957.07
acces moto,6042.745116085013,1,1918.756567357404,fifanolorana,Ilafy,120025.54
sans acces,3380.720959071916,1,1090.6163284302115,titre et borne,Ivato,270670.0
acces moto,2665.085823793062,1,150.62238265389328,cadastre,Ilafy,167107.52
acces moto,5587.535765293044,1,1735.3831476601626,titre et borne,Alasora,268537.64
acces voiture,2064.881667154904,1,465.4847315688048,titre et borne,Analakely,357760.0
acces voiture,6224.758267143416,1,2498.6382209740364,cadastre,Tanjombato,205038.41
acces moto,8087.466911976931,1,642.1424834729991,titre et borne,Ivato,251916.6
acces voiture,6417.792447239129,0,2024.8130893880905,titre et borne,Analakely,228164.49
acces voiture,5768.089202941627,1,1054.2844084219223,cadastre,Alasora,253382.75
acces voiture,7948.072951836541,1,1682.2189400977754,cadastre,Tanjombato,245946.02
acces voiture,9996.423333387733,1,1387.7862538355798,fifanolorana,Ivato,164998.57
sans acces,8043.110195054391,1,322.9146760073012,cadastre,Tanjombato,118294.36
sans acces,522.6226939949356,1,485.1601341460304,fifanolorana,Ilafy,111951.97
acces voiture,1161.2690997928953,1,1823.968654064929,cadastre,Analakely,271074.0
sans acces,3125.5442669129634,1,732.1797343147673,titre et borne,Tanjombato,258797.05
